TabID,Provenience
P100341,Umma (mod. Tell Jokha)
P100342,Umma (mod. Tell Jokha)
P100343,Umma (mod. Tell Jokha)
P100344,Umma (mod. Tell Jokha)
P100345,Umma (mod. Tell Jokha)
P100346,Umma (mod. Tell Jokha)
P100347,Umma (mod. Tell Jokha)
P100348,Umma (mod. Tell Jokha)
P100349,Umma (mod. Tell Jokha)
P100350,Umma (mod. Tell Jokha)
P100351,Umma (mod. Tell Jokha)
P100352,Umma (mod. Tell Jokha)
P100353,Umma (mod. Tell Jokha)
P100354,Umma (mod. Tell Jokha)
P100355,Umma (mod. Tell Jokha)
P100356,Umma (mod. Tell Jokha)
P100357,Umma (mod. Tell Jokha)
P100358,Umma (mod. Tell Jokha)
P100359,Umma (mod. Tell Jokha)
P100360,Umma (mod. Tell Jokha)
P100361,Umma (mod. Tell Jokha)
P100362,Umma (mod. Tell Jokha)
P100363,Umma (mod. Tell Jokha)
P100364,Umma (mod. Tell Jokha)
P100365,Umma (mod. Tell Jokha)
P100366,Umma (mod. Tell Jokha)
P100367,Umma (mod. Tell Jokha)
P100368,Umma (mod. Tell Jokha)
P100369,Umma (mod. Tell Jokha)
P100370,Umma (mod. Tell Jokha)
P100371,Umma (mod. Tell Jokha)
P100372,Umma (mod. Tell Jokha)
P100373,Umma (mod. Tell Jokha)
P100374,Umma (mod. Tell Jokha)
P100375,Puzriš-Dagan (mod. Drehem) ?
P100376,Puzriš-Dagan (mod. Drehem) ?
P100377,Puzriš-Dagan (mod. Drehem) ?
P100378,Puzriš-Dagan (mod. Drehem) ?
P100379,Umma (mod. Tell Jokha)
P100380,Umma (mod. Tell Jokha)
P100381,Umma (mod. Tell Jokha)
P100382,Umma (mod. Tell Jokha)
P100383,Umma (mod. Tell Jokha)
P100384,Umma (mod. Tell Jokha)
P100385,Umma (mod. Tell Jokha)
P100386,Umma (mod. Tell Jokha)
P100387,Umma (mod. Tell Jokha)
P100388,Umma (mod. Tell Jokha)
P100389,Umma (mod. Tell Jokha)
P100390,Umma (mod. Tell Jokha)
P100391,Umma (mod. Tell Jokha)
P100392,Umma (mod. Tell Jokha)
P100393,Umma (mod. Tell Jokha)
P100394,Umma (mod. Tell Jokha)
P100395,Umma (mod. Tell Jokha)
P100396,Umma (mod. Tell Jokha)
