mu di-bi2-dsuen lugal,ibbi-suen 1b,84
mu us2-sa di-bi2-dsuen lugal,ibbi-suen 2a,85
mu en-dinanna unuki maš2-e i3-pa3,ibbi-suen 2b,85
mu us2-sa en-dinanna unuki-ga maš2-e i3-pa3,ibbi-suen 3a,86
mu di-bi2-dsuen lugal uri2ki-ma-ke4 si-mu-ru-umki mu-hul,ibbi-suen 3b,86
mu us2-sa si-mu-ru-umki ba-hul,ibbi-suen 4a,87
mu en-am-gal-an-na en-dinanna ba-hun,ibbi-suen 4b,87
"mu tu-ki-in-hat,t,i-mi-ig-ri2-ša dumu-munus lugal ensi2 za-ab-ša-liki-ke4 ba-an-tuku",ibbi-suen 5,88
mu us2-sa dumu-munus lugal ensi2 za-ab-ša-liki ba-an-tuku,ibbi-suen 6a,89
mu di-bi2-dsuen lugal uri2ki-ma-ke4 nibruki uri2ki-ma-ke4 bad3 gal-bi mu-du3,ibbi-suen 6b,89
mu us2-sa bad3 gal nibruki ba-du3,ibbi-suen 7,90
mu us2-sa bad3 gal ba-du3 us2-sa-bi,ibbi-suen 8,91
mu di-bi2-dsuen lugal uri2ki-ma-ke4 hu-uh2-nu-riki sag-kul ma-da an-ša-anki-še3 … dugud ba-ši-in-gen …-gin7 bi …,ibbi-suen 9,92
mu en-nir-si3-an-na en-dinanna maš2-e in-pa3,ibbi-suen 10,93
mu en-nam-šita4 di-bi2-dsuen-sze3 szud3-sag en-den-ki eriduki-ga masz-e in-pa3,ibbi-suen 11a,94
mu en-nam-šita4 en eriduki ba-hun,ibbi-suen 11b,94
mu di-bi2-dsuen lugal uri2ki-ma-ke4 gu-za an dnanna-ra mu-na-dim2,ibbi-suen 12,95
mu us2-sa di-bi2-dsuen lugal uri2ki-ma-ke4 gu-za an dnanna-ra mu-na-dim2,ibbi-suen 13,96
mu di-bi2-dsuen lugal uri2ki-ma-ke4 šušanki a-dam-dunki a-wa-anki u4-gin7 ka bi-in-gi4 u4 1(diš)-a mu-un-gur2 en-bi lu2-a mi-ni-in-dab5-ba-a,ibbi-suen 14,97
 mu di-bi2-dsuen lugal uri2ki-ma-ra dnanna-a ša3 ki-ag2-ga2-ni dalla mu-un-na-an-e3-a,ibbi-suen 15,98
mu di-bi2-dsuen lugal uri2ki-ma-ke4 dnanna-ar dnun-me-te-an-na mu-na-dim2,ibbi-suen 16,99
mu di-bi2-dsuen lugal uri2ki-ma-ra mar-tu a2 tu15u19-<lu> ul-ta iriki nu zu gu2 im-ma-an-ga2-ar,ibbi-suen 17,100
mu di-bi2-dsuen lugal uri2ki-ma-ke4 dnin-lil2 u3 dinanna e2-šutum2 e2-gi-na-ab-tum ku3 mu-ne-du3,ibbi-suen 18,101
mu us2-sa di-bi2-dsuen lugal uri2ki-ma-ke4 dnin-lil2 u3 dinanna e2-šutum2 e2-gi-na-ab-tum ku3 mu-ne-du3,ibbi-suen 19,102
mu di-bi2-dsuen lugal uri2ki-ma-ke4 den-lil2-le me-lam2-ma-ni kur-kur-ra bi2-in-dul4,ibbi-suen 20,103
mu di-bi2-dsuen lugal uri2ki-ma-ke4 dnin-igi-zi-bar-ra balag dinanna-ra mu-na-dim2,ibbi-suen 21,104
mu di-bi2-dsuen lugal uri2ki-ma-ke4 a-ma-ru nig2-du11-ga dingir-re-ne-ke4 za3 an-ki im-suh3-suh3-a uri2ki uru2ki tab-ba bi2-in-ge-en,ibbi-suen 22,105
mu di-bi2-dsuen lugal uri2ki-ma-ra ugu-dul5-bi dugud kur-be2 mu-na-e-ra,ibbi-suen 23,106
mu di-bi2-dsuen lugal uri2ki-ma-ke4 … bi2-ra,ibbi-suen 24,107
mu den-ki ga-ša e2-an-na ba-an-ku4,? 1,108
mu e2 dne3-eri11 ba-du3,? 2,109
