TabID,Provenience
P122047,Umma (mod. Tell Jokha)
P122048,Umma (mod. Tell Jokha)
P122049,Umma (mod. Tell Jokha)
P122050,Umma (mod. Tell Jokha)
P122051,Umma (mod. Tell Jokha)
P122052,Umma (mod. Tell Jokha)
P122053,Umma (mod. Tell Jokha)
P122054,Umma (mod. Tell Jokha)
P122055,Umma (mod. Tell Jokha)
P122056,Umma (mod. Tell Jokha)
P122057,Umma (mod. Tell Jokha)
P122058,Umma (mod. Tell Jokha)
P122059,Umma (mod. Tell Jokha)
P122060,Umma (mod. Tell Jokha)
P122061,Umma (mod. Tell Jokha)
P122062,Umma (mod. Tell Jokha)
P122063,Umma (mod. Tell Jokha)
P122064,Umma (mod. Tell Jokha)
P122065,Umma (mod. Tell Jokha)
P122066,Umma (mod. Tell Jokha)
P122067,Umma (mod. Tell Jokha)
P122068,Umma (mod. Tell Jokha)
P122069,Umma (mod. Tell Jokha)
P122070,Umma (mod. Tell Jokha)
P122071,Umma (mod. Tell Jokha)
P122072,Umma (mod. Tell Jokha)
P122073,Umma (mod. Tell Jokha)
P122074,Umma (mod. Tell Jokha)
P122075,Umma (mod. Tell Jokha)
P122076,Umma (mod. Tell Jokha)
P122077,Umma (mod. Tell Jokha)
P122078,Umma (mod. Tell Jokha)
P122079,Umma (mod. Tell Jokha)
P122080,Umma (mod. Tell Jokha)
P122081,Umma (mod. Tell Jokha)
P122082,Umma (mod. Tell Jokha)
P122083,Umma (mod. Tell Jokha)
P122084,Umma (mod. Tell Jokha)
P122085,Umma (mod. Tell Jokha)
P122086,Umma (mod. Tell Jokha)
P122087,Umma (mod. Tell Jokha)
P122088,Umma (mod. Tell Jokha)
P122089,Umma (mod. Tell Jokha)
P122090,Umma (mod. Tell Jokha)
P122091,Umma (mod. Tell Jokha)
P122092,Umma (mod. Tell Jokha)
P122093,Umma (mod. Tell Jokha)
P122094,Umma (mod. Tell Jokha)
P122095,Umma (mod. Tell Jokha)
P122096,Umma (mod. Tell Jokha)
P122097,Umma (mod. Tell Jokha)
P122098,Umma (mod. Tell Jokha)
P122099,Umma (mod. Tell Jokha)
P122100,Umma (mod. Tell Jokha)
P122101,Umma (mod. Tell Jokha)
P122102,Umma (mod. Tell Jokha)
P122103,Umma (mod. Tell Jokha)
P122104,Umma (mod. Tell Jokha)
P122105,Umma (mod. Tell Jokha)
P122106,Umma (mod. Tell Jokha)
P122107,Umma (mod. Tell Jokha)
P122108,Umma (mod. Tell Jokha)
P122109,Umma (mod. Tell Jokha)
P122110,Umma (mod. Tell Jokha)
P122111,Umma (mod. Tell Jokha)
P122112,Umma (mod. Tell Jokha)
P122113,Umma (mod. Tell Jokha)
P122114,Umma (mod. Tell Jokha)
P122115,Umma (mod. Tell Jokha)
P122116,Umma (mod. Tell Jokha)
P122117,Umma (mod. Tell Jokha)
P122118,Umma (mod. Tell Jokha)
P122120,Umma (mod. Tell Jokha)
P122121,Umma (mod. Tell Jokha)
P122122,Umma (mod. Tell Jokha)
P122123,Umma (mod. Tell Jokha)
P122124,Nippur (mod. Nuffar)
P122125,Umma (mod. Tell Jokha)
P122126,Umma (mod. Tell Jokha)
P122127,Umma (mod. Tell Jokha)
P122128,Umma (mod. Tell Jokha)
P122129,Umma (mod. Tell Jokha)
P122130,Umma (mod. Tell Jokha)
P122131,Puzriš-Dagan (mod. Drehem)
P122132,Puzriš-Dagan (mod. Drehem)
P122133,Puzriš-Dagan (mod. Drehem)
P122134,Puzriš-Dagan (mod. Drehem)
P122135,Puzriš-Dagan (mod. Drehem)
P122136,Puzriš-Dagan (mod. Drehem)
P122137,Puzriš-Dagan (mod. Drehem)
P122138,Puzriš-Dagan (mod. Drehem)
P122139,Puzriš-Dagan (mod. Drehem)
P122140,Puzriš-Dagan (mod. Drehem)
P122141,Puzriš-Dagan (mod. Drehem)
P122142,Puzriš-Dagan (mod. Drehem)
P122143,Puzriš-Dagan (mod. Drehem)
P122144,Puzriš-Dagan (mod. Drehem)
P122145,Puzriš-Dagan (mod. Drehem)
P122146,Puzriš-Dagan (mod. Drehem)
P122147,Puzriš-Dagan (mod. Drehem)
P122148,Puzriš-Dagan (mod. Drehem)
P122149,Puzriš-Dagan (mod. Drehem)
P122150,Puzriš-Dagan (mod. Drehem)
P122151,Puzriš-Dagan (mod. Drehem)
P122152,Puzriš-Dagan (mod. Drehem)
P122153,Puzriš-Dagan (mod. Drehem)
P122154,Puzriš-Dagan (mod. Drehem)
P122155,Puzriš-Dagan (mod. Drehem)
P122156,Puzriš-Dagan (mod. Drehem)
P122157,Puzriš-Dagan (mod. Drehem)
P122158,Puzriš-Dagan (mod. Drehem)
P122159,Puzriš-Dagan (mod. Drehem)
P122160,Puzriš-Dagan (mod. Drehem)
P122161,Puzriš-Dagan (mod. Drehem)
P122162,Puzriš-Dagan (mod. Drehem)
P122163,Puzriš-Dagan (mod. Drehem)
P122164,Puzriš-Dagan (mod. Drehem)
P122165,Puzriš-Dagan (mod. Drehem)
P122166,Puzriš-Dagan (mod. Drehem)
P122167,Puzriš-Dagan (mod. Drehem)
P122168,Puzriš-Dagan (mod. Drehem)
P122169,Puzriš-Dagan (mod. Drehem)
P122170,Puzriš-Dagan (mod. Drehem)
P122171,Puzriš-Dagan (mod. Drehem)
P122172,Puzriš-Dagan (mod. Drehem)
P122173,Puzriš-Dagan (mod. Drehem)
P122174,Puzriš-Dagan (mod. Drehem)
P122175,Puzriš-Dagan (mod. Drehem)
P122176,Puzriš-Dagan (mod. Drehem)
P122177,Puzriš-Dagan (mod. Drehem)
P122178,Puzriš-Dagan (mod. Drehem)
P122179,Puzriš-Dagan (mod. Drehem)
P122180,Puzriš-Dagan (mod. Drehem)
P122181,Puzriš-Dagan (mod. Drehem)
P122182,Puzriš-Dagan (mod. Drehem)
P122183,Puzriš-Dagan (mod. Drehem)
P122184,Puzriš-Dagan (mod. Drehem)
P122185,Puzriš-Dagan (mod. Drehem)
P122186,Puzriš-Dagan (mod. Drehem)
P122187,Puzriš-Dagan (mod. Drehem)
P122188,Puzriš-Dagan (mod. Drehem)
P122189,Puzriš-Dagan (mod. Drehem)
P122190,Puzriš-Dagan (mod. Drehem)
P122191,Puzriš-Dagan (mod. Drehem)
P122192,Puzriš-Dagan (mod. Drehem)
P122193,Puzriš-Dagan (mod. Drehem)
P122194,Puzriš-Dagan (mod. Drehem)
P122195,Puzriš-Dagan (mod. Drehem)
P122196,Puzriš-Dagan (mod. Drehem)
P122197,Puzriš-Dagan (mod. Drehem)
P122198,Puzriš-Dagan (mod. Drehem)
P122199,Umma (mod. Tell Jokha)
P122200,Umma (mod. Tell Jokha)
P122201,Puzriš-Dagan (mod. Drehem)
P122202,Puzriš-Dagan (mod. Drehem)
P122203,Puzriš-Dagan (mod. Drehem)
P122204,Puzriš-Dagan (mod. Drehem)
P122205,Puzriš-Dagan (mod. Drehem)
P122206,Puzriš-Dagan (mod. Drehem)
P122207,Puzriš-Dagan (mod. Drehem)
P122208,Puzriš-Dagan (mod. Drehem)
P122209,Puzriš-Dagan (mod. Drehem)
P122210,Puzriš-Dagan (mod. Drehem)
P122211,Puzriš-Dagan (mod. Drehem)
P122212,Puzriš-Dagan (mod. Drehem)
P122213,Puzriš-Dagan (mod. Drehem)
P122214,Nippur (mod. Nuffar)
P122215,Nippur (mod. Nuffar)
P122216,Nippur (mod. Nuffar)
P122217,Nippur (mod. Nuffar)
P122218,Nippur (mod. Nuffar)
P122219,Nippur (mod. Nuffar)
P122220,Nippur (mod. Nuffar)
P122221,Nippur (mod. Nuffar)
P122222,Nippur (mod. Nuffar)
P122223,Nippur (mod. Nuffar)
P122224,Nippur (mod. Nuffar)
P122225,Nippur (mod. Nuffar)
P122226,Nippur (mod. Nuffar)
P122227,Nippur (mod. Nuffar)
P122228,Nippur (mod. Nuffar)
P122229,Nippur (mod. Nuffar)
P122230,Nippur (mod. Nuffar)
P122231,Nippur (mod. Nuffar)
P122232,Nippur (mod. Nuffar)
P122233,Nippur (mod. Nuffar)
P122234,Nippur (mod. Nuffar)
P122235,Nippur (mod. Nuffar)
P122236,Nippur (mod. Nuffar)
P122237,Nippur (mod. Nuffar) ?
P122238,Nippur (mod. Nuffar)
P122239,Nippur (mod. Nuffar)
P122240,Nippur (mod. Nuffar)
P122241,Nippur (mod. Nuffar)
P122242,Nippur (mod. Nuffar)
P122243,Nippur (mod. Nuffar)
P122244,Nippur (mod. Nuffar)
P122245,Nippur (mod. Nuffar)
P122246,Nippur (mod. Nuffar)
P122247,Nippur (mod. Nuffar)
P122248,Nippur (mod. Nuffar)
P122249,Nippur (mod. Nuffar)
P122250,Nippur (mod. Nuffar)
P122251,Nippur (mod. Nuffar)
P122252,Nippur (mod. Nuffar)
P122253,Nippur (mod. Nuffar)
P122254,Nippur (mod. Nuffar)
P122255,Nippur (mod. Nuffar)
P122256,Nippur (mod. Nuffar)
P122257,Nippur (mod. Nuffar)
P122258,Nippur (mod. Nuffar)
P122259,Nippur (mod. Nuffar)
P122260,Nippur (mod. Nuffar)
P122261,Nippur (mod. Nuffar)
P122263,Nippur (mod. Nuffar)
P122264,Nippur (mod. Nuffar)
P122265,Nippur (mod. Nuffar)
P122266,Nippur (mod. Nuffar)
P122267,Nippur (mod. Nuffar)
P122268,Nippur (mod. Nuffar)
